","""",""R15"",""2K2"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R16"",""1K"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R17"",""270R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R18"",""270R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R19"",""1K"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R20"",""1K"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R21"",""10R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""TR1"",""PE-65612"","":TR60_IC_1"",""My Footprints:PE-65612"","""""
","""",""TR2"",""PE-65612"","":TR60_IC_2"",""My Footprints:PE-65612"","""""
","""",""TR3"",""PE-65612"",""Transformer:TR60_IC"",""My Footprints:PE-65612"","""""
","""",""U1"",""74HC14"",""74xx:74HC14"",""Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"",""http://www.ti.com/lit/gpn/sn74HC14"""
","""",""U2"",""CNY17-3"",""Isolator:CNY17-3"",""Package_DIP:DIP-6_W7.62mm_LongPads"",""http://www.vishay.com/docs/83606/cny17.pdf"""
","""",""U3"",""CNY17-3"",""Isolator:CNY17-3"",""Package_DIP:DIP-6_W7.62mm_LongPads"",""http://www.vishay.com/docs/83606/cny17.pdf"""
","""",""U4"",""LTV-827"",""Isolator:LTV-827"",""Package_DIP:DIP-8_W7.62mm"",""http://optoelectronics.liteon.com/upload/download/DS-70-96-0016/LTV-8X7%20series%20201610%20.pdf"""



Collated Components:

"Item,""Qty"",""Reference(s)"",""Value"",""LibPart"",""Footprint"",""Datasheet"""
"1,""8"",""C1, C2, C3, C8, C11, C12, C13, C14"",""100nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
"2,""5"",""C4, C5, C6, C15, C16"",""10nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
"3,""3"",""C7, C9, C17"",""10uF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
"4,""1"",""C10"",""1nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
"5,""1"",""FB1"",""1K"",""Device:FerriteBead_Small"",""Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder"",""~"""
"6,""1"",""J1"",""10MHz Out"",""Connector:Conn_Coaxial"",""Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"","" ~"""
"7,""2"",""J3, J4"",""10MHz"",""Connector:Conn_01x02_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal"",""~"""
"8,""1"",""J7"",""RF interconnect"",""Connector:Conn_01x03_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal"",""~"""
"9,""1"",""J8"",""1PPS Out"",""Connector:Conn_Coaxial"",""Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"","" ~"""
"10,""1"",""J9"",""1PPS In"",""Connector:Conn_Coaxial"",""Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"","" ~"""
"11,""1"",""J10"",""NEO USB Serial"",""Connector:Conn_01x03_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal"",""~"""
"12,""1"",""J11"",""RPi Interconnect"",""Connector:Conn_01x04_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal"",""~"""
"13,""1"",""J12"",""NANO USB Serial"",""Connector:Conn_01x03_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal"",""~"""
"14,""1"",""J13"",""Serial interconnect"",""Connector:Conn_01x06_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal"",""~"""
"15,""1"",""PS1"",""SIM1-0505"",""My_Symbols:SIM1-0505"",""My Footprints:Converter_DCDC_HN_MODUL_SIM1-0505"",""https://cdn-reichelt.de/documents/datenblatt/D400/SIM1_SIL4%23HN.pdf"""
"16,""3"",""R1, R2, R3"",""1M"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
"17,""6"",""R4, R5, R6, R7, R8, R9"",""100R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
"18,""3"",""R10, R13, R21"",""10R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
"19,""5"",""R11, R14, R16, R19, R20"",""1K"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
"20,""2"",""R12, R15"",""2K2"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
"21,""2"",""R17, R18"",""270R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
"22,""1"",""TR1"",""PE-65612"","":TR60_IC_1"",""My Footprints:PE-65612"","""""
"23,""1"",""TR2"",""PE-65612"","":TR60_IC_2"",""My Footprints:PE-65612"","""""
"24,""1"",""TR3"",""PE-65612"",""Transformer:TR60_IC"",""My Footprints:PE-65612"","""""
"25,""1"",""U1"",""74HC14"",""74xx:74HC14"",""Package_SO:SOIC-14_3.9x8.7mm_P1.27mm"",""http://www.ti.com/lit/gpn/sn74HC14"""
"26,""2"",""U2, U3"",""CNY17-3"",""Isolator:CNY17-3"",""Package_DIP:DIP-6_W7.62mm_LongPads"",""http://www.vishay.com/docs/83606/cny17.pdf"""
"27,""1"",""U4"",""LTV-827"",""Isolator:LTV-827"",""Package_DIP:DIP-8_W7.62mm"",""http://optoelectronics.liteon.com/upload/download/DS-70-96-0016/LTV-8X7%20series%20201610%20.pdf"""
